,Sphere,Rastrigin,Ackley,Griewank,Schwefel P2.22,Rosenbrock,Sehwwefel P2.21,Quartic,Schwefel P1.2,Penalized 1,Penalized 2,Schwefel P2.26,Step,Kowalik,Shekel Foxholes,Goldstein-Price,Shekel 5,Branin,Hartmann 3,Shekel 7,Shekel 10,Six-Hump Camel-Back,Hartmann 6,Zakharov,Sum Squares,Alpine,Michalewicz,Exponential,Schaffer,Bent Cigar,Bohachevsky 1,Elliptic,Drop Wave,Cosine Mixture,Ellipsoidal,Levy and Montalvo 1
avg,0.0,0.0,4.440892098500626e-16,0.0,2.8971202195563876e-192,24.26730465719636,4.977062649133729e-193,0.00010413410139315039,0.0,3.671221257132248e-06,2.3645353931272513,-9918.251293389367,0.0,0.00038307714069528654,1.1567324132759444,2.999999999999921,-6.482638274967961,0.3978873577297378,-3.8627821478207527,-6.57593993531058,-6.380678235965455,-1.031628453489878,-3.2696821982034816,0.0,0.0,1.0250845148801677e-195,-1.8013034100985548,-1.0,0.002455858171496408,0.0,0.0,0.0,-1.0,-3.0,0.0032462190571368892,9.997998644924053e-07
std,0.0,0.0,0.0,0.0,0.0,0.6714457019722966,0.0,8.189896689604188e-05,0.0,7.78300708678277e-06,1.1375170528647378,1376.755071505599,0.0,0.00024826907134503244,0.5378392381401261,1.5850936827610294e-15,2.288997198536943,3.3306690738754696e-16,3.0587399915522732e-15,2.3865384633169646,2.2361582312488397,2.589462819655575e-16,0.059016993373333416,0.0,0.0,0.0,1.1102230246251565e-15,0.0,2.4725895532523558e-17,0.0,0.0,0.0,0.0,0.0,0.004255519665680295,1.2713479509175523e-06
worst,0.0,0.0,4.440892098500626e-16,0.0,1.4477919135897956e-190,26.736629572018707,8.279499382067271e-192,0.00041489203187399486,0.0,4.234826178193003e-05,2.966083226928664,-6799.669255768067,0.0,0.0012231733771272987,3.968250105568161,2.9999999999999254,-5.055197728932865,0.39788735772973816,-3.8627821478207554,-5.087671723628905,-5.055197728932867,-1.0316284534898776,-3.2031020502643277,0.0,0.0,3.7243670833038027e-194,-1.8013034100985537,-1.0,0.002455858171496572,0.0,0.0,0.0,-1.0,-3.0,0.02161050537699658,7.721243470247885e-06
best,0.0,0.0,4.440892098500626e-16,0.0,1.099724382979532e-209,22.8858533329984,2.1551448583230188e-208,1.9124565132223856e-06,0.0,4.86976758785173e-08,0.011811736189932892,-11740.418114248223,0.0,0.0003074859878056047,0.9980038377944498,2.9999999999999205,-10.15319967905823,0.39788735772973816,-3.862782147820756,-10.402915336777747,-10.15319967905823,-1.0316284534898779,-3.3219951715842426,0.0,0.0,5.176999553777657e-213,-1.8013034100985537,-1.0,0.00245585817149635,0.0,0.0,0.0,-1.0,-3.0,9.575876866212898e-05,1.0821941574540896e-07
ideal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12569.486618173014,0.0,0.0003074861,0.9980038377944493,3.0,-10.1532,0.39788735772973816,-3.86278214782076,-10.1532,-10.1532,-1.031628453489877,-3.32236801141551,0.0,0.0,0.0,-1.8013034100985532,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0
time,0.4501464223861694,0.4464885139465332,0.4630818128585815,0.46440657615661624,0.45482784271240234,0.46723882675170897,0.4511606454849243,0.48498701095581054,0.4590769863128662,0.5357286500930786,0.52190833568573,0.45917577266693116,0.450902156829834,0.7943930196762085,0.8755315685272217,0.4501292514801025,0.4931704330444336,0.43537047386169436,0.4856028938293457,0.5129743957519531,0.4924463796615601,0.43685618877410887,0.4906707763671875,0.4817566204071045,0.456721339225769,0.4552238941192627,0.4391694736480713,0.44289756298065186,0.4263662338256836,0.4541502618789673,0.4223136854171753,0.4639213514328003,0.4306769895553589,0.45939433574676514,0.4565655517578125,0.5023370885848999
